N2O,PP2,PP7,AirT,WFPS25cm,NH4,NO3,Mean_DAF,Season__Spring,Season__Summer,Season__Winter,Vegetation__Others,N_rate__1,Clay__2,Clay__3,Sand__2,Sand__3,SOM__1
2.510577506241427,0.0,0.0,-2.0,0.6665083162667813,2.4887608793601825,3.1755846176832754,5.558756702605943,0,0,1,0,1,0,0,0,1,0
2.3613740810560393,0.0,0.0,-2.4,0.6406079512776812,2.4855803394748013,3.1763681604043303,5.5626028611934215,0,0,1,0,1,0,0,0,1,0
2.4813913961032084,1.4586150226995167,2.265921108622454,0.3,0.7280854012159785,2.4707797500340947,3.187258338590106,5.5928509139489195,0,0,1,0,1,0,0,0,1,0
2.464548002625535,0.0,2.211565694606877,-3.8,0.6868723517556334,2.472310314684473,3.1893225162115666,5.596568390349052,0,0,1,0,1,0,0,0,1,0
2.4303690672945457,0.7030975114131134,2.2396452932201716,17.6,0.7162214412068945,2.4163376170401483,3.227115981335133,5.688668836846153,1,0,0,0,1,0,0,0,1,0
2.3572387849768863,0.7030975114131134,2.2396452932201716,19.1,0.7067334504006194,2.4072434421906914,3.234565456362033,5.69204721843778,1,0,0,0,1,0,0,0,1,0
2.3044833346001727,0.0,3.6057695473909295,2.2,0.7146360801675118,2.3544050436738218,3.27078473972258,5.734958092124651,1,0,0,0,1,0,0,0,1,0
2.1300510741289598,1.9947003132247452,2.0930978681273213,3.3,0.7113805181559009,2.3560839633098274,3.2729906071126984,5.738183901373533,1,0,0,0,1,0,0,0,1,0
2.2713955282970884,3.9326096390365346,3.9473901492654373,6.8,0.7261150947865986,2.325280688482234,3.29623460171181,5.791488055075306,1,0,0,0,1,0,0,0,1,0
2.337635802360471,1.1908875647772805,3.9860166853364722,10.7,0.7182007237272766,2.336463581070431,3.294813305307723,5.800606659291741,1,0,0,0,1,0,0,0,1,0
2.550705122744229,1.5173226235262949,3.391483689474516,14.1,0.781241726394619,2.2916749937104717,3.329529471160849,5.844992643207725,1,0,0,0,1,0,0,0,1,0
2.443799722757829,0.8197798314933114,3.2140642678709788,15.1,0.7706671666802967,2.2820338555592055,3.332765888287307,5.847882818629958,1,0,0,0,1,0,0,0,1,0
2.366774408616426,0.0,3.128951117340214,13.5,0.7755970743766665,2.2813194740472746,3.336993879954863,5.850764665004847,1,0,0,0,1,0,0,0,1,0
2.38742641336329,1.1085626195212777,1.9600947840472698,13.6,0.7288642680869748,2.3970483688218707,3.3837397806413243,5.853638230200579,1,0,0,0,1,0,0,0,1,0
